ID,Home Office Id,Store Name,City,State,Count,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26
200,517,Manchester,Manchester,CT,1,6,18,31,55,41,20,24,32,65,17,20,33,68,0,23,15,35,51,9,25,28,69,9,16,22,90,6,17,15,42,58,17,23,54,35,12,17,56,11,37,15,20,39,65,13,13,37,69,14,19,20,77,1,19,20,41,43
204,497,Carlsbad-Encinitas,Encinitas,CA,0,56,54,81,87,50,88,62,68,80,66,43,53,80,25,84,53,67,63,61,41,53,95,49,38,47,119,22,50,40,71,77,53,48,104,80,54,41,73,35,82,57,50,43,79,55,42,54,94,51,52,54,71,51,55,47,70,54
208,499,Lancaster,Lancaster,PA,3,34,60,98,100,22,55,97,69,46,61,50,66,75,0,47,90,65,44,46,58,53,76,34,60,50,93,34,46,42,63,61,47,52,88,43,46,74,100,44,0,57,60,58,50,31,68,52,98,33,45,59,89,0,57,40,47,57
209,549,Fort Mill,Fort Mill,SC,12,0,19,18,21,0,19,16,15,0,0,23,13,17,0,18,17,29,0,16,0,23,14,0,23,21,22,0,19,21,28,0,19,23,33,3,13,16,20,12,1,13,24,13,11,19,6,10,20,17,13,21,11,0,0,30,14,5
215,492,Pearland,Pearland,TX,1,31,47,35,50,17,56,37,45,25,45,27,35,44,6,53,28,44,33,47,29,35,38,40,20,57,51,22,39,36,47,19,41,60,54,7,28,54,48,16,0,33,54,38,19,28,48,5,66,21,60,11,49,13,43,39,34,29
227,500,Modesto,Modesto,CA,1,30,21,31,23,12,41,33,29,8,42,25,20,16,5,51,21,11,9,34,23,19,15,31,18,17,22,20,24,14,16,19,36,14,31,6,33,20,26,12,0,36,18,14,16,34,18,13,23,34,18,14,20,4,19,34,12,11
229,550,Redlands,Redlands,CA,1,1,33,29,32,10,29,20,24,17,25,19,28,32,0,24,25,26,23,23,25,23,27,12,26,18,39,6,24,14,26,24,15,17,38,37,13,27,33,9,9,19,20,24,24,17,16,25,26,6,26,26,21,29,18,21,27,23
232,514,Cincinnati - Anderson,Cincinnati,OH,1,29,35,40,52,0,59,34,34,16,49,30,32,27,2,57,37,25,20,41,43,44,47,47,51,57,38,39,35,41,51,3,55,34,47,22,51,41,42,18,1,52,47,38,57,47,44,36,44,59,48,55,39,6,75,38,27,31
239,525,Flemington,Flemington,NJ,3,42,36,42,57,0,58,48,16,37,42,34,27,50,0,44,38,33,22,38,28,41,31,17,37,25,48,16,42,25,35,27,38,28,57,20,32,33,60,18,0,44,20,42,29,24,45,55,33,26,22,38,20,3,35,27,45,21
241,628,Torrance,Torrance,CA,0,30,33,33,43,14,37,39,31,22,42,29,30,28,4,43,28,31,26,39,27,32,35,23,41,32,42,21,24,26,27,23,28,33,37,32,31,36,37,12,7,34,42,36,35,34,31,29,35,33,26,23,35,16,40,31,34,26
244,AAA,Mill Creek,Mill Creek,WA,2,28,72,73,81,8,66,61,69,35,62,42,59,60,0,73,50,53,38,48,54,45,62,40,34,62,81,36,33,43,68,35,49,49,104,29,37,52,77,32,0,61,53,48,47,62,29,61,56,62,33,40,66,7,55,48,44,46
261,677,Missouri City,Missouri City,TX,0,27,25,45,59,23,48,43,40,37,33,39,26,47,8,46,26,45,31,33,27,55,39,27,33,47,52,24,46,40,45,30,47,41,66,15,43,51,58,17,6,54,41,50,35,54,32,25,79,60,29,25,59,9,69,41,48,55
262,722,Centerville,Centerville,OH,0,34,61,75,53,41,70,77,62,48,66,50,42,70,14,71,55,46,54,56,57,41,76,47,40,58,107,41,44,46,54,49,46,51,65,56,42,51,64,19,28,53,62,35,51,44,48,36,62,42,48,34,77,1,49,47,40,54
264,691,Bellaire Boulevard,Houston,TX,7,19,24,23,30,0,40,20,23,11,28,40,21,15,0,36,20,18,0,31,24,49,3,31,16,17,10,32,27,31,15,0,42,15,30,6,34,14,19,5,0,35,15,12,3,38,9,17,6,36,10,11,18,0,39,9,13,0
268,646,Frederick,Frederick,MD,1,57,51,80,60,8,101,54,34,41,75,53,46,58,15,110,65,39,34,70,62,49,48,43,55,56,68,48,60,67,62,20,55,63,90,27,54,69,61,24,0,72,71,47,33,67,55,45,48,60,62,65,47,10,62,73,53,31
274,529,Thousand Oaks,Thousand Oaks,CA,4,17,22,49,50,0,21,48,32,10,17,21,34,31,0,32,30,37,0,19,30,41,0,14,22,37,22,10,24,30,39,3,14,36,41,10,12,31,41,9,15,12,23,33,27,16,28,48,20,12,26,28,35,13,24,27,19,25
280,434_2,San Jose Camden Park,San Jose,CA,0,47,84,80,82,73,95,79,68,48,68,79,66,56,36,96,81,59,40,72,66,56,68,48,99,72,87,43,55,68,54,53,58,69,129,56,49,76,94,32,13,73,94,53,41,57,88,50,79,52,79,64,74,31,53,64,91,46
281,767,Lafayette,Lafayette,IN,1,14,16,20,14,7,12,18,12,13,14,18,14,15,0,12,20,11,13,12,19,17,16,10,14,15,14,6,7,16,14,3,15,14,15,6,13,8,16,8,5,14,11,17,8,11,12,16,12,16,19,16,6,7,9,23,8,8
286,632,Vacaville,Vacaville,CA,4,6,38,38,25,16,30,22,32,18,24,21,20,40,0,31,20,24,23,25,22,9,41,19,14,23,30,16,17,23,33,13,31,33,40,0,31,25,39,0,0,37,24,28,17,25,16,24,33,28,28,29,29,4,30,22,22,14
288,788,Cincinnati - West,Cincinnati,OH,5,0,29,18,34,4,16,15,20,20,9,21,12,18,0,11,16,17,18,8,20,20,24,11,11,18,31,0,11,9,20,28,13,5,20,21,13,15,16,14,0,18,8,19,19,15,13,10,25,13,13,17,24,0,12,9,13,23
291,837,Mobile,Mobile,AL,5,0,30,30,36,17,35,30,31,30,20,32,37,39,0,31,0,49,33,26,18,35,40,11,18,15,62,0,23,28,31,28,27,26,46,10,38,33,41,6,0,24,42,22,18,22,47,22,30,21,34,26,30,7,18,43,26,23
307,1002,Frisco,Frisco,TX,4,9,14,6,8,1,14,9,12,3,3,13,14,10,0,12,12,10,4,8,14,9,8,7,6,13,13,6,8,7,8,3,8,18,11,0,10,6,14,10,0,13,5,9,2,14,7,0,20,3,8,5,10,3,8,5,11,5
